p-value	FDR_BH	t-score	row_number	mz	retention_time	mock_6hr_01	mock_6hr_02	mock_6hr_03	p_0hr_01	p_0hr_02	p_0hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
0.7809875118095196	0.9369012357529021	-0.297370826212474	row_3668	797.6134	39.0	14.23	13.15059786439218	14.537884685469665	17.031486645266703	16.287422415729324	14.203417598825823	12.540546167327168	12.976433650640475	15.497677391169391
0.7811928105816767	0.9369012357529021	-0.29708172923857024	row_1589	260.0945	157.0	16.75	15.717846053058382	16.118089542585935	14.539788943291368	15.824821069010387	15.586327218623651	16.25475186700747	16.274653482415655	15.747808028283087
0.781414571693048	0.9369012357529021	0.296769484492057	row_1158	194.9312	522.0	16.25	16.58756686799428	16.220038243045046	16.308405743517	15.082731408648753	16.366163470389345	16.19352869613362	16.635396276516065	16.383556730947063
0.7815243103157136	0.9369012357529021	0.2966149830768901	row_914	171.9585	27.0	18.02	18.662322546997984	18.391545562824177	17.305084824307134	17.530663535036474	18.64328532554517	18.45878601846611	18.037139705020518	18.84317466256507
0.781539774022999	0.9369012357529021	0.2965932123620877	row_3574	789.4084	40.0	15.43	14.858603802157857	15.068017927857058	17.520054822124614	16.875311627184644	14.962458217211099	15.040492311342756	16.202504923595573	14.570109611872772
0.781540123552968	0.9369012357529021	0.2965927202752679	row_7727	269.20799999999997	79.0	14.06	14.575682573202807	12.865925997940193	12.663687144156999	13.309426246226153	12.934883962620296	13.673174828493416	14.60492969257947	13.746762931373523
0.7817698139755505	0.9369012357529021	0.2962693689094059	row_1699	282.1169	71.0	16.54	17.394416298717946	15.81224344120859	16.82628801098638	16.40307275240906	16.189400586655786	16.581275445001342	16.66631708743896	16.915084334813667
0.7820972279919897	0.9369012357529021	0.295808510645766	row_7777	324.1997	84.0	14.17	14.062232935469567	13.763074561980398	13.034998958569009	13.550364447642266	13.777107114527244	13.795621170241118	14.192652213607571	14.163647326563014
0.7821541974611729	0.9369012357529021	0.2957283299618469	row_3541	786.4153	39.0	15.65	15.246310671466633	16.138479282677757	18.888045717326754	18.581154093210735	14.265804498967078	15.183346376715077	15.903603751340947	16.32102407166864
0.7821737449699957	0.9369012357529021	0.2957008186980491	row_3235	760.2196	105.0	15.92	14.952910878476208	15.547176820014894	18.565590720600536	18.051090050095283	15.024845117352353	14.87723052234582	16.5014060958502	15.528943720808604
0.782539114198053	0.9369012357529021	0.29518664652904697	row_773	160.9274	88.0	16.18	18.599451162785755	18.391545562824177	16.40611937888858	17.231900165280493	18.747263492447264	17.285341910050633	17.82069402856027	18.864018882324547
0.7826322055063372	0.9369012357529021	0.29505565744035217	row_6369	718.5966	38.0	14.6	13.580218989842443	11.081823739905698	16.054350291550886	13.598552087925489	13.194829379875525	13.050739257942595	13.873137167404353	13.28819009666508
0.7828221910856238	0.9369012357529021	0.29478834731522247	row_4633	984.2667	43.0	20.5	19.311993517191066	19.64551457847128	22.62070658852118	22.378340147528693	19.16317616005563	19.92814211943854	20.1294479108029	19.729054002342743
0.7833126779494283	0.9369012357529021	-0.2940983502953248	row_1892	326.884	43.0	17.51	18.04408726891102	17.667709789564466	14.872015303554747	15.47787005897118	17.977825057371778	17.591457764419886	17.923763398303244	17.52998881771817
0.783320159950677	0.9369012357529021	0.2940878262469981	row_2719	713.3126	39.0	13.58	16.44086697149907	15.475812729693514	16.288863016442683	15.766995900670517	15.274392717917374	15.244569547588927	14.491553385862199	16.696220027339184
0.7833670200192367	0.9369012357529021	-0.29402191462411753	row_7619	166.613	22.0	16.38	17.1848450180105	17.300694467911654	16.02503620093941	15.94047140569012	17.457934222861315	16.060878492573607	17.047673755487963	17.331968730003158
0.783382173791294	0.9369012357529021	0.2940006002285579	row_5334	111.0436	179.0	14.63	13.580218989842443	16.036530582218642	13.611509407261341	14.523754781363369	14.484158649461472	15.673131743705884	14.398790953093522	14.88277290826489
0.7833917090421646	0.9369012357529021	0.29398718859489825	row_5256	746.5098	39.0	15.45	12.846719507366386	13.681515601613107	16.660174830854693	15.921196349576832	14.66092153319503	14.254794951795002	14.574008881656578	13.850984030170896
0.7834682619179267	0.9369012357529021	-0.2938795168846588	row_4221	860.4455	39.0	15.45	14.533768317061318	14.884510267030652	18.702389810120753	19.072668024099606	14.80649096685796	14.642541700662724	14.56370194468228	15.341345742973333
